text,consciousness_type,complexity_domain,intensity_score,is_consciousness_indicator,is_time_violence,hours_lost,timestamp
"heard an interesting concept from gary vee: ""look for underpriced attention"".

i really like that idea. where are you seeing underpriced attention right now? are some platforms/formats performing well",,financial,,0,1,0.0,2022-11-22T14:58:14+00:00
"it took me 6 months to find a doctor that would give me a diagnosis and i had to spend $500 out of pocket with insurance.

do i support companies that are finding ways to help people gain access to me",,healthcare,,0,1,480.0,2022-10-30T17:14:15+00:00
"as of right now, i have to have 6 prescriptions for a 3 month supply and visit my doctor every 3 months to get those prescriptions refilled. i've got a moderate dose for first thing in the morning and",,healthcare,,0,1,480.0,2022-10-30T17:14:13+00:00
"@chuckenspire but of course, it's taking a bit more effort than i was hoping to get it to do that, but still playing with it, because i think it has a lot of potential for interesting applications.",,employment,,0,1,0.0,2022-10-25T22:15:14+00:00
"@mollys_adhd @markyerkes1734 what all platforms are you creating on? feel free to send them to me via dm as well, if you want, but figured this could be a great way to promote everything you're doing!",,financial,,0,1,0.0,2022-10-09T16:10:00+00:00
"this is truly revolutionary.

props to mark for doing this. was just talking with my wife about one of her meds that we are fighting insurance on and so it's $200+ out of pocket at the pharmacy

looke",,healthcare,,0,1,0.0,2022-07-29T15:54:14+00:00
"@stroutmotivateu so the baseline ends up not just being a base level of infrastructure that becomes acceptable, but at a certain level of efficiency. essentially, if you are taxing people way more tha",,government,,0,1,0.0,2022-07-28T22:40:48+00:00
@dagorenouf everyone who launches with you actually gets lifetime creator insurance now. i realized i can be quite generous with these early policies because of the nature of the network effects neede,,healthcare,,0,1,0.0,2025-06-30T18:19:25+00:00
"@hellostartupla perhaps. 

but as i think more about the future of work, the creator economy, and the overall trajectory of things, i'm wondering if there is room for some different applications of tr",,employment,,0,1,0.0,2022-07-18T18:31:33+00:00
"this is such an interesting read. when creating for various platforms, there are so many hoops you have to jump through to make it a viable business model.

imagine what would be possible if you didn'",,financial,,0,1,0.0,2022-07-06T15:31:53+00:00
"back to the doctor today to get a test for strep! was finally getting over bronchitis and got hit with a nasty sore throat last night. 

at least i still seem to be avoiding covid. but damn, lol. woul",,healthcare,,0,1,2.0,2022-06-15T15:58:08+00:00
"instead of a launch day, i'm turning it into a launch week.

one of the benefits of feather is getting compounding effects. each announcement/launch should get a higher level of baseline amplification",,government,,0,1,0.0,2022-04-15T13:57:19+00:00
"apply here:  https://t.co/hmhriuw5ub

applications open until 6/21.

send me a dm if you have questions about anything!",,employment,,0,1,0.0,2025-06-14T23:57:43+00:00
applications are now open for the first ten: i'm seeking 10 people who want to help me test the curriculum for the year long program i am building to help people escape employment to start working for,,employment,,0,1,0.0,2025-06-14T23:57:36+00:00
"it's been funny to watch the schism between tech and state, while knowing both sides are different forms of the same flavor of wrong.

driven by the desire to be right.

it's much more interesting to ",,financial,,0,1,0.0,2025-06-06T17:09:15+00:00
"3️⃣ speed = recognition loops, not server racks
• signal – contributions visible in real time
• reflection – team notices &amp; rewards them
• transmission – new knowledge fuels the next run
break any",,financial,,0,1,0.0,2025-06-05T19:56:46+00:00
"the business model writes itself:

phase 1: free app, pure utility 
phase 2: network effects create moats
phase 3: platform for verified inventory, telehealth integration, insurance navigation

you st",,healthcare,,0,1,0.0,2025-05-31T23:57:19+00:00
"why hasn't someone built this?

because venture capital chases fantasy problems while real families suffer through systematic time theft.
""let's build another ai chatbot!""

meanwhile: parents lose 40 ",,healthcare,,0,1,40.0,2025-05-31T23:57:18+00:00
"the numbers are staggering:

10.3m americans on adhd meds
2.5m experience pharmacy shortages annually
7.4m hours wasted searching
$185m in time value destroyed
0 existing solutions

we've normalized t",,healthcare,,0,1,0.0,2025-05-31T23:57:17+00:00
"@nick_from_texas i'm personally more interested in the applications at the human resolution, but you should be able to do it with neural networks as well.

feel free to poke through the first draft of",,employment,,0,1,0.0,2025-05-19T18:43:00+00:00
@captgouda24 then you’ll appreciate the future applications of my work that will minimize the energy required for information verification,,employment,,0,1,0.0,2025-05-16T18:59:52+00:00
"applications stretch beyond theory:

* designing efficient organizations
* building resilient infrastructure
* developing smarter ai that reasons across abstraction levels
* understanding how our brai",,employment,,0,1,0.0,2025-05-15T13:23:15+00:00
"i spend hours online, platforms make bank, i get zero. 

but hey, at least i'm addicted!",,financial,,0,1,0.0,2025-05-12T12:20:21+00:00
"starting to do automated lead generation and outreach.

i want to start building up some relationships and talking to people about what they are seeing community-wise online.

it's a way for me to bri",,employment,,0,1,0.0,2025-04-16T13:17:27+00:00
"don't require job applications, don't have to filter on ai generated job applications.

the trick to winning this game lies in figuring out how to remove the noise.

existing channels are extremely no",,employment,,0,1,0.0,2025-03-07T16:55:31+00:00
"just won my super bowl. got interrogated about human insurance by my dad for 1.5 hours and didn't end up flustered and speechless with him taking the conversation down a path i didn't expect.

i've ne",,healthcare,,0,1,5.0,2025-02-10T00:15:25+00:00
"@e_p82 give me 6 months. i've got the model that works, but the crypto isn't needed, it's simply a way to tap into collective wisdom as a balance against the data we'll gather.

human insurance.",,healthcare,,0,1,480.0,2025-02-06T21:16:13+00:00
"i was more interested in the software applications of the idea tbh but the hardware is intriguing too. 

but i think @basedbeffjezos has the hardware covered and i want to show that i can use network ",,employment,,0,1,0.0,2025-07-23T00:14:28+00:00
"setting it up on gcp because i'm about to leave aws i think. still annoyed at their handling of my credit situation and so i figured i could invest a little time in learning gcp.

now have my gcs in p",,financial,,0,1,0.0,2025-01-07T15:49:05+00:00
"insane. ended up being over 2 hours instead of 5 minutes because of insurance.

this is exactly the type of inefficiency that the market is protected against, because of the complexity involved. 

how",,healthcare,,0,1,2.166666666666667,2024-12-02T19:10:43+00:00
"i just had 309 rainbow points dropped into my wallet
everybody has at least 100 points waiting for them, but you might have more!

claim your drop: https://t.co/r1yulwtczl",,healthcare,,0,1,0.0,2024-11-25T16:54:14+00:00
"@finereli the most interesting piece here is actually in time it takes to go from demand to available supply. 

let's say you have a need for 1 doctor, 24 hours per day.

how many doctors do you hire?",,healthcare,,0,1,32.0,2024-10-07T14:26:26+00:00
"@vuapo_ai i'm actually thinking projects may end up getting smaller over time, because it's becoming cost effective to create on-the-fly applications and one-time-use software. 

that should allow thi",,employment,,0,1,0.0,2024-09-03T17:40:07+00:00
"then, you can even offer the ability to migrate from other platforms to the ones you recommend.

makes me think about various migration tools i could build.

so i'll ask: is anyone interested in migra",,financial,,0,1,0.0,2024-07-27T20:26:44+00:00
"this model is interesting, because it separates the content from the functionality. it's a bit like a cms in that regard, except the cms isn't necessarily under my control.

had to hack a few things t",,financial,,0,1,0.0,2024-07-13T13:05:39+00:00
"ok, making some updates to this today. first of all, fixing the text color, because that looked terrible and was hard to read. but that took 2 seconds. the bigger updates are hooking up the @trychroma",,financial,,0,1,0.0,2024-06-22T16:00:28+00:00
"got some interest in the comments. if you want your youtube channel turned into blog posts and/or newsletters, let me know.

currently have the ability to log in with google, pull all youtube videos, ",,financial,,0,1,0.0,2024-06-05T22:53:18+00:00
"@amandamgoetz wow, that's extremely helpful! 🤦‍♂️

i got multiple items a couple weeks ago that were all ""an explanation of your short-term disability benefits""

first line in the body: ""this is a gro",,government,,0,1,0.0,2024-05-22T14:17:50+00:00
"that's a big reason for my ai cofounder, i wanted the benefits of recording my thoughts in a streamlined, bite-sized way, but without the nudges, the negative interactions, the inflammatory content, e",,government,,0,1,0.0,2024-04-09T14:31:40+00:00
"@russthemagic oh, i love this example, because i think it can illustrate something really interesting.

and that is the desire of the artist, because what they desire informs what they value.

so, if ",,financial,,0,1,0.0,2024-01-28T16:07:15+00:00
"before 8am i was able to give an impromptu lecture on how rag worked and what kinds of things it allows you to do because someone said it wasn't that interesting to just make api calls to openai.

me ",,financial,,0,1,0.0,2024-01-09T13:04:51+00:00
"@pbeekums it's a matter of selecting for skills that do well in the job, right? i like the normalized effort, but with so many platforms available, the only way that would work is with some sort of bl",,financial,,0,1,0.0,2023-09-15T13:06:36+00:00
"@mmduarte @_buildspace definitely interested in this idea! 

i think there's a lot of room to play around the idea of ""newsletters"" and how they work

excited to see what you come up with here!",,financial,,0,1,0.0,2023-08-10T17:17:07+00:00
"i fight the complexity of the internet so you don't have to.

got a problem? i'll help you solve it for the price of chatgpt.

unlimited text-based queries: $20/month

unlimited video calls: $200/mont",,financial,,0,1,0.0,2025-07-05T12:56:50+00:00
"""social media platforms know this, and try to offer various mechanisms that show us who and what we are interested in: follower counts, likes, views, etc.",,financial,,0,1,0.0,2023-06-08T16:09:15+00:00
"overall though, this will allow me to quickly extend it in the future and build more frontend apps that use the shared code. i got tired of duplicating the same code across multiple applications, when",,employment,,0,1,0.0,2023-02-12T16:54:17+00:00
"@themopinomicon professor. 

defense against the dark arts: practical applications of rigorous mysticism. 

https://t.co/is52wd9b1l https://t.co/kuqfaa2mlx",,employment,,0,1,0.0,2025-07-03T00:12:45+00:00
"@almerudcaspian starting off, i plan on setting it up to send a dm to new followers with an item of content recommended based on their recent tweets (so ideally the topic they are interested in at the",,employment,,0,1,0.0,2023-01-04T21:05:14+00:00
"i'm trying to figure out the best way to position this service though, in some easy-to-understand way. given a 1-1 chat, i can definitely outline the process and benefits, but i need to solidify the o",,government,,0,1,0.0,2023-01-03T14:58:19+00:00
